Spanish,English
la prioridad,priority
la violación,rape
el refugiado,refugee
la montaña,mountain
la cumbre,summit
la parte inferior,bottom
la gestión,management
la comisión,commission
la gama,range
el código,code
el dinero en efectivo,cash
la boca,mouth
la presencia,presence
la cuota,share
la moda,fashion
la forma,shape
la silla,chair
el dedo,finger
el pescado,fish
la edición,edition
el borde,edge
el límite,limit
el tren,train
la creencia,belief
el balance,balance
el intercambio,exchange
la granja,farm
la zona,zone
el pasajero,passenger
la mentira,lie
el deber,duty
el tráfico,traffic
el caballo,horse
la tradición,tradition
la recuperación,recovery
el inspector,inspector
la dificultad,difficulty
el archivo,file
el cumpleaños,birthday
la financiación,finance
el accidente,crash
la influencia,influence
la regulación,regulation
el análisis,analysis
el calor,heat
el vestido,dress
la liberación,release
el invierno,winter
el virus,virus
el tema,theme
la noción,notion
el dispositivo,device
la ira,anger
el Inglés,english
la bandera,flag
el contexto,context
el ala,wing
los combates,fighting
el patrón,pattern
el entretenimiento,entertainment
la aparición,appearance
el ahorro,saving
el inversor,investor
el asentamiento,settlement
la lluvia,rain
la madera,wood
el correo,mail
el agricultor,farmer
el misterio,mystery
la oración,prayer
la visión,vision
la explosión,explosion
el acusado,defendant
la estructura,structure
la enmienda,amendment
el asalto,assault
el pensamiento,thinking
la terapia,therapy
la enfermera,nurse
el camino,path
la financiación,funding
la herramienta,tool
el título,title
la carcasa,housing
la tienda,shop
la queja,complaint
la ola,wave
el gato,cat
el mapa,map
el empleador,employer
la prueba,proof
la emoción,emotion
la habilidad,skill
la confianza,trust
la sala,hall
el armario,cabinet
el hueso,bone
el alma,soul
el pollo,chicken
la ubicación,location
la indicación,indication
el altavoz,speaker
el salario,wage
la era,era
el jefe,boss
el entrenador,coach
la finca,estate
el sector,sector
el huevo,egg
la estaca,stake
la parada,stop
el anillo,ring
el choque,shock
la contribución,contribution
el anuncio,announcement
el cigarrillo,cigarette
el territorio,territory
el comando,command
la isla,island
la protesta,protest
la impresión de,impression
el fallo,fault
la costa,coast
la lectura,reading
la variedad,variety
los ingresos,revenue
la campana,bell
el café,coffee
el alcohol,alcohol
el almuerzo,lunch
la expectativa,expectation
el grado,grade
la sección,section
el oído,ear
el cielo,sky
la ayuda,assistance
la señal,signal
el estrés,stress
la alternativa,alternative
el investigador,researcher
el cable,cable
la apertura,opening
la playa,beach
el voluntario,volunteer
la carga,burden
el detective,detective
el juguete,toy
la ganancia,gain
el activo,asset
la piscina,pool
la tendencia,trend
la encuesta,survey
el planeta,planet
el río,river
la identidad,identity
el océano,ocean
el retraso,delay
la clínica,clinic
el patio,yard
la punta,tip
el divorcio,divorce
el sol,sun
la fila,row
la frase,phrase
la pena,worth
la colección,collection
la ocasión,occasion
la superficie,surface
el empate,tie
el músico,musician
el concepto,concept
la tensión,tension
el resultado,outcome
el becario,fellow
la belleza,beauty
el siniestro,casualty
la copia,copy
la mina,mine
el reloj,watch
el sueño,sleep
la media,average
el recorrido,travel
el fraude,fraud
la categoría,category
el ejercicio,exercise
la convicción,conviction
la iniciativa,initiative
la técnica de,technique
la grabación,recording
la vista,sight
la reducción,reduction
el conjunto,whole
la corporación,corporation
la pasión,passion
el funeral,funeral
la juventud,youth
el instrumento,instrument
la distancia,distance
el desierto,desert
el aniversario,anniversary
la escritura,writing
el compromiso,compromise
la enfermedad,illness
el desgarro,tear
la puerta,gate
el bosque,forest
el experimento,experiment
el golf,golf
el talento,talent
el cargo,post
la brecha,gap
el sacerdote,priest
la novela,novel
la división,division
el sombrero,hat
la hipoteca,mortgage
la reputación,reputation
la puntuación,score
el hombro,shoulder
la relación,relative
la columna,column
el pago,payment
la transición,transition
el premio,award
la capacidad,capability
la definición,definition
el bolsillo,pocket
la velocidad,speed
el concierto,concert
el clima,climate
la clave,clue
La cerveza,beer
la nariz,nose
el verde,green
el jardín,garden
el satélite,satellite
la ceremonia,ceremony
la humana,human
el descubrimiento,discovery
el paseo,ride
el té,tea
el movimiento,motion
el porcentaje,percentage
la combinación,combination
la explicación,explanation
la escala,scale
la cadena de,chain
el gemelo,twin
la capacidad,capacity
el distribuidor,dealer
el toque,touch
el viaje,journey
el delegado,delegate
el enlace,link
el plástico,plastic
el estímulo,stimulus
la tapa,cap
el rollo,roll
la construcción,construction
la intención,intention
la disputa,dispute
el estado de ánimo,mood
el diseño,design
la infancia,childhood
el motor,engine
el tiempo de vida,lifetime
la pesadilla,nightmare
la danza,dance
la comida,meal
la oferta,offer
la obligación,obligation
el avance,advance
la caridad,charity
el turista,tourist
la fábrica,factory
la grasa,fat
la sal de,salt
el cuello,neck
el dormitorio,bedroom
el episodio,episode
el ingeniero,engineer
el castigo,punishment
las pruebas,testing
la instancia,instance
la perspectiva,prospect
las compras,shopping
el humo,smoke
la carne,meat
la bodega,hold
la jubilación,retirement
la inflación,inflation
